number_question,title_question,link_question,points_question,author,number_comments
1,Ask HN: Do you use inheritance when programming?,https://news.ycombinator.com/item?id=23825310,11 ,jameskerr,11
2,Ask HN: How do you document long term products,https://news.ycombinator.com/item?id=23825252,8 ,lobsang,0
3,"Ask HN: Advanced Linux users, which distribution do you run? Why?",https://news.ycombinator.com/item?id=23816007,62 ,psxuaw,141
4,Ask HN: How do I look you in the eye while looking at you in video chat?,https://news.ycombinator.com/item?id=23823397,4 ,nscalf,6
5,What is the future of short-term travel?,https://news.ycombinator.com/item?id=23823054,5 ,soumyabruin,2
6,Why can Apple out CPU Intel?,https://news.ycombinator.com/item?id=23815712,41 ,raasdnil,38
7,Femto Computing,https://news.ycombinator.com/item?id=23822777,2 ,AAMOUSA0519,2
8,Ask HN: How does Superhuman Mail tracks every recipient independently?,https://news.ycombinator.com/item?id=23822711,2 ,dtarik,3
9,Ask HN: Multi-tenancy in software vs. infrastructure for SaaS,https://news.ycombinator.com/item?id=23820461,8 ,slayerjain,12
10,CMS that dynamically changes your website based on visitor's LinkedIn profile,https://news.ycombinator.com/item?id=23821587,2 ,matteomosca,3
11,Ask HN: What's the worst piece of software you use everyday?,https://news.ycombinator.com/item?id=23803539,510 ,guu,1459
12,"Ask HN: Azure customers, why do you host with Azure over AWS or GCP?",https://news.ycombinator.com/item?id=23820741,3 ,emeerson,2
13,Productivize Issue #2,https://news.ycombinator.com/item?id=23820623,2 ,sharath39,1
14,Ask HN: I want to make school more afforadable,https://news.ycombinator.com/item?id=23815979,15 ,bobblywobbles,34
15,"“Ok Google, play music on Spotify” stopped working",https://news.ycombinator.com/item?id=23819097,2 ,alepacheco,1
16,Ask HN: How can I quickly trim my AWS bill?,https://news.ycombinator.com/item?id=23798347,149 ,danicgross,130
17,Ask HN: How do you learn new libraries without much documentation?,https://news.ycombinator.com/item?id=23800590,48 ,vedant_shety,51
18,Ask HN: How did you learn functional programming?,https://news.ycombinator.com/item?id=23818526,9 ,xupybd,8
19,Ask HN: What I can do to protect freedom of internet?,https://news.ycombinator.com/item?id=23808448,18 ,throwawayt856,10
20,"Help HN: Laid off due to Covid, almost out of runway",https://news.ycombinator.com/item?id=23813149,70 ,inferred_type,14
21,Ask HN: Sacrifice Seniority for Better Long Term Career Prospects?,https://news.ycombinator.com/item?id=23810798,7 ,OneSummersDay,8
22,Ask HN: What it takes to become an 'anchor' on Stellar network?,https://news.ycombinator.com/item?id=23817004,3 ,phekunde,1
23,Ask HN: You favorite (not so popular) quote?,https://news.ycombinator.com/item?id=23809549,11 ,artembugara,32
24,"Ask HN: Best new startup TLD, other than .com?",https://news.ycombinator.com/item?id=23799061,27 ,plessthanpt05,28
25,Ask HN: Help me identify an Isaac Asimov story [ANSWERED],https://news.ycombinator.com/item?id=23815710,3 ,lisper,6
26,Ask HN: Any good books on the history of the internet?,https://news.ycombinator.com/item?id=23807294,12 ,dom2,11
27,How big is the software development tools market worldwide in 2020?,https://news.ycombinator.com/item?id=23804585,13 ,MacSystem,1
28,Ask HN: Cheap and Reliable API for Building a Bank?,https://news.ycombinator.com/item?id=23815021,2 ,davidajackson,8
29,Ask HN: 9-5 Burnout?,https://news.ycombinator.com/item?id=23822895,32 ,notoriousarun,43
30,Ask HN: Recommendations for a Password Manager,https://news.ycombinator.com/item?id=23804635,12 ,anshulag,23
31,Ask HN: Does anything work against mosquitoes?,https://news.ycombinator.com/item?id=23812093,3 ,stiray,9
32,Ask HN: Best tech stack for solo dev'd app?,https://news.ycombinator.com/item?id=23811987,11 ,throwaway45349,10
33,Ask HN: What's your process for reselling your used hardware?,https://news.ycombinator.com/item?id=23800498,34 ,kaptain,35
34,Ask HN: Anyone else bothered by Gmail's “Changes may not be saved” popup?,https://news.ycombinator.com/item?id=23810954,3 ,mercer,2
35,Ask HN: Which USB3 sticks support SuperSpeed on the Rasberry 4?,https://news.ycombinator.com/item?id=23793803,7 ,fluxinflex,2
36,Ask HN: How can we get people to read submissions before commenting on them?,https://news.ycombinator.com/item?id=23816994,35 ,kerkeslager,41
37,Ask HN: What books should I read this summer?,https://news.ycombinator.com/item?id=23800390,14 ,zevv,9
38,Ask HN: Best resources to learn about stock trading and investing?,https://news.ycombinator.com/item?id=23796028,68 ,vkbm,57
39,"Tell HN: 6.3% of HN top submissions in plain HTTP, more than half upgradable",https://news.ycombinator.com/item?id=23802521,100 ,oefrha,73
40,The dark side of eventual consistency and how to triumph over it,https://news.ycombinator.com/item?id=23809572,2 ,hugorocha,0
41,Ask HN: How do you Contact Large Corporations?,https://news.ycombinator.com/item?id=23809283,6 ,spectramax,2
42,Ask HN: Someone published an app that publishes their expenses,https://news.ycombinator.com/item?id=23802439,3 ,kumarski,4
43,Ask HN: What is your “mission” in work and life?,https://news.ycombinator.com/item?id=23803739,22 ,notoriousarun,15
44,Window-Swap.com allows you to view out the windows of users all around the world,https://news.ycombinator.com/item?id=23814516,9 ,seesawtron,3
45,Ask HN: How to zoom through a dense book on coding?,https://news.ycombinator.com/item?id=23796975,14 ,takizawa11,6
46,Ask HN: Best tablet for white boarding during a video conference?,https://news.ycombinator.com/item?id=23800440,13 ,logical42,17
47,Ask HN: Notion or TiddlyWiki for free a * personal * wiki?,https://news.ycombinator.com/item?id=23799041,10 ,NerDProgrammer,7
48,Literal Ask HN: What Is the Cost of Running Hacker News?,https://news.ycombinator.com/item?id=23807259,15 ,deanstag,5
49,Ask HN: How many hours do you work?,https://news.ycombinator.com/item?id=23807304,33 ,xupybd,48
50,Ask HN: Concepts the modern tech industry falsely believes it invented?,https://news.ycombinator.com/item?id=23814645,45 ,Ozzie_osman,48
51,"Made $45K in 2020, but the business is in trouble, losing the market share. Help",https://news.ycombinator.com/item?id=23803346,2 ,mousab,4
52,1100 Open Source UI Designs,https://news.ycombinator.com/item?id=23802981,4 ,andreigaspar,1
53,Ask HN: What is the most underrated piece of advice you've been told?,https://news.ycombinator.com/item?id=23815025,7 ,adawg4,8
54,"Ask HN: I will implement every suggestion, what's yours?",https://news.ycombinator.com/item?id=23801705,2 ,dorianmariefr,3
55,"Ask HN: Have access to an EIDL loan, what should I do with it?",https://news.ycombinator.com/item?id=23801556,2 ,mike503,3
56,Ask HN: What are your thoughts on this AI fund?,https://news.ycombinator.com/item?id=23801451,2 ,cymon,0
57,Ask HN: Self-hosted lightweight wiki engine suggestions? (MoinMoin alternative),https://news.ycombinator.com/item?id=23800862,5 ,ciprian_craciun,13
58,"Ask HN: Does Java need value types, now that Espresso is in the works?",https://news.ycombinator.com/item?id=23797410,2 ,divs1210,1
59,Ask HN: What advice would you give for a new tech blog?,https://news.ycombinator.com/item?id=23795176,4 ,BossingAround,4
60,Ask HN: What Is the Best/Worst Purchase You Have Made During the Quarantine?,https://news.ycombinator.com/item?id=23807047,9 ,IMAYousaf,12
61,Ask HN: Google account stolen – denied ownership after providing evidence,https://news.ycombinator.com/item?id=23794153,9 ,fosco,2
62,Ask HN: How and when did you decide and start your startup?,https://news.ycombinator.com/item?id=23795326,51 ,talhof8,40
63,Ask HN: What is easier to read: camel or snake case?,https://news.ycombinator.com/item?id=23802414,3 ,tomaszs,3
64,Ask HN: Has TikTok been auto-installed on your phone?,https://news.ycombinator.com/item?id=23798628,2 ,StandardFuture,3
65,Ask HN: What makes our fingerprints unique?,https://news.ycombinator.com/item?id=23797112,4 ,modinfo,1
66,Ask HN: What's the best piece of software you use every day?,https://news.ycombinator.com/item?id=23806012,31 ,thdrdt,51
67,Ask HN: Do you consider finance/trading to be an evil industry?,https://news.ycombinator.com/item?id=23824111,1 point,gas9S9zw3P9c,1
68,Ten Predictions about the Software Development trends in the 2030s,https://news.ycombinator.com/item?id=23824107,1 point,mkzaman,0
69,Ask HN: Hacker News Bug? I can not collapse comments,https://news.ycombinator.com/item?id=23823923,1 point,guessmyname,1
70,Who owns software vulnerabilities? The hacker or the company who owns the code?,https://news.ycombinator.com/item?id=23823638,1 point,always_learning,3
71,Ask HN: Who are the best journalists/bloggers covering AI/ML?,https://news.ycombinator.com/item?id=23823566,3 ,aloukissas,1
72,The Ultimate Guides to Privacy Online,https://news.ycombinator.com/item?id=23823425,1 point,realpanzer,0
73,Ask HN: How does your future fantasy look like?,https://news.ycombinator.com/item?id=23823385,1 point,jelliclesfarm,1
74,Ask HN: German eng'd privacy first social network – what would you expect?,https://news.ycombinator.com/item?id=23823277,7 ,vislam,7
75,Ask HN: Where will the top cryptocurrencies be in 5 years?,https://news.ycombinator.com/item?id=23823134,1 point,devchris10,0
76,Ask HN: How are you staying connected with your guild?,https://news.ycombinator.com/item?id=23822917,1 point,kostarelo,0
77,Ask HN: How to build a 'full stack' workshop/laboratory?,https://news.ycombinator.com/item?id=23822842,1 point,neilshevlin,1
78,How to Handle Eventual Consistency,https://news.ycombinator.com/item?id=23821914,2 ,hugorocha,0
